ts,open,high,low,close,vol
1748450743,2634.62,2634.62,2634.61,2634.61,534.3499999999999
1748450747,2634.61,2634.61,2634.29,2634.55,158.15999999999997
1748450751,2634.55,2634.56,2634.32,2634.32,301.03000000000003
1748450755,2634.32,2634.54,2634.32,2634.54,353.61999999999995
1748450759,2634.54,2635.17,2634.54,2635.17,264.44
1748450763,2635.18,2635.99,2635.17,2635.99,389.84
1748450767,2635.99,2636.0,2635.98,2636.0,191.77999999999997
1748450771,2636.0,2636.26,2636.0,2636.25,193.28000000000003
1748450775,2636.25,2636.95,2636.25,2636.95,570.2799999999999
1748450780,2636.95,2636.95,2635.78,2635.79,368.86
1748450784,2635.78,2635.92,2635.58,2635.92,101.82
1748450788,2635.97,2636.34,2635.97,2636.33,1183.08
1748450792,2636.33,2636.34,2636.14,2636.33,1740.39
1748450796,2636.34,2636.34,2636.33,2636.34,25.77
1748450800,2636.34,2636.37,2636.27,2636.27,1800.84
1748450804,2636.26,2636.33,2635.45,2635.45,3931.81
1748450808,2635.46,2635.46,2635.45,2635.45,19.03
1748450812,2635.45,2635.46,2635.45,2635.45,56.78
1748450816,2635.45,2635.67,2635.41,2635.67,667.81
1748450820,2635.72,2636.05,2635.72,2636.04,275.58
1748450824,2636.04,2636.04,2635.8,2636.02,273.49
1748450828,2636.02,2636.74,2636.02,2636.74,263.17
1748450832,2636.74,2637.17,2636.74,2636.76,344.88
1748450836,2636.9,2637.49,2636.9,2637.09,289.27
1748450840,2637.09,2637.38,2636.47,2636.86,360.06
1748450844,2636.86,2636.97,2636.5,2636.97,462.16
1748450848,2637.0,2637.77,2637.0,2637.77,1081.4
1748450852,2637.78,2638.25,2637.78,2638.25,1337.6399999999996
1748450856,2638.24,2638.48,2638.24,2638.48,478.16
1748450860,2638.48,2639.0,2638.47,2639.0,394.13
1748450864,2639.0,2639.0,2638.78,2638.98,2064.0
1748450868,2638.99,2638.99,2638.98,2638.98,439.49999999999994
1748450872,2638.99,2639.0,2638.79,2638.99,1177.5299999999995
1748450876,2638.99,2639.25,2638.85,2638.86,1152.13
1748450880,2638.85,2638.85,2638.26,2638.84,1223.6
1748450884,2638.84,2639.23,2638.83,2639.22,208.12
1748450888,2639.22,2639.25,2639.22,2639.25,507.6
1748450892,2639.25,2639.25,2639.24,2639.25,907.72
1748450896,2639.26,2639.47,2639.25,2639.47,415.0
1748450901,2639.47,2639.8,2639.46,2639.8,410.44000000000005
1748450905,2639.8,2639.8,2639.04,2639.05,2400.2200000000003
1748450909,2639.04,2639.04,2639.0,2639.01,2532.1900000000005
1748450913,2639.0,2639.01,2638.74,2638.74,288.69
1748450917,2638.74,2638.75,2638.74,2638.75,649.2299999999999
1748450921,2638.74,2638.75,2638.74,2638.74,3.0100000000000007
1748450925,2638.74,2638.74,2638.0,2638.0,1236.9099999999996
1748450929,2638.0,2638.13,2638.0,2638.12,641.7299999999999
1748450933,2638.12,2638.43,2638.12,2638.17,489.25999999999993
1748450937,2638.17,2638.17,2638.16,2638.16,64.91000000000001
1748450941,2638.16,2638.16,2638.04,2638.05,523.14
1748450945,2638.04,2638.13,2638.04,2638.12,281.27000000000004
1748450949,2638.12,2638.13,2638.12,2638.13,763.2
1748450953,2638.15,2638.15,2638.13,2638.13,274.90999999999997
1748450957,2638.12,2638.12,2638.04,2638.05,756.21
1748450961,2638.05,2638.12,2636.29,2636.29,1110.23
1748450965,2636.29,2636.29,2636.15,2636.16,95.85
1748450969,2636.15,2636.16,2636.15,2636.15,31.48
1748450974,2636.16,2636.88,2636.15,2636.88,118.54
1748450978,2636.87,2636.88,2636.87,2636.87,91.03
1748450982,2636.87,2636.88,2636.87,2636.87,12.93
1748450986,2636.88,2636.88,2636.42,2636.42,539.77
1748450990,2636.42,2636.42,2636.3,2636.31,253.33999999999995
1748450994,2636.3,2636.3,2636.3,2636.3,135.14
1748450998,2636.3,2636.31,2635.85,2635.85,335.57000000000005
1748451002,2635.85,2636.31,2635.85,2636.3,171.61000000000004
1748451006,2636.3,2636.94,2636.3,2636.66,1191.2700000000002
1748451010,2636.66,2636.97,2636.65,2636.96,257.94
1748451014,2636.97,2636.97,2636.96,2636.96,30.1
1748451018,2636.97,2636.97,2636.31,2636.53,611.55
1748451022,2636.6,2636.97,2636.42,2636.97,172.61
1748451026,2636.96,2636.97,2636.96,2636.96,62.08
1748451030,2636.97,2636.97,2636.96,2636.96,18.99
1748451034,2636.97,2636.97,2636.95,2636.95,304.99999999999994
1748451038,2636.95,2636.95,2636.95,2636.95,39.2
1748451042,2636.95,2636.96,2636.95,2636.95,37.2
1748451046,2636.95,2636.97,2636.95,2636.96,117.33
1748451050,2636.96,2636.97,2636.96,2636.97,372.62
1748451054,2636.96,2636.97,2636.86,2636.86,331.19
1748451058,2636.85,2637.99,2636.85,2637.99,487.65
1748451062,2637.99,2637.99,2637.93,2637.94,69.77
1748451066,2637.96,2638.0,2637.93,2637.94,229.57
1748451070,2637.93,2638.0,2637.93,2638.0,220.82
1748451074,2638.0,2638.78,2638.0,2638.77,384.68
1748451078,2638.78,2639.0,2638.78,2638.99,213.02000000000004
1748451082,2638.99,2639.0,2638.99,2638.99,33.5
1748451086,2638.99,2639.0,2638.99,2639.0,139.91
1748451090,2638.99,2638.99,2638.71,2638.71,620.7599999999999
1748451094,2638.71,2638.72,2638.71,2638.71,387.09
1748451098,2638.71,2638.72,2638.2,2638.72,1621.01
1748451102,2638.71,2638.72,2638.4,2638.71,267.37
1748451106,2638.71,2638.71,2638.32,2638.32,211.59000000000003
1748451110,2638.32,2638.32,2637.93,2637.93,604.4899999999998
1748451114,2637.93,2638.13,2637.93,2638.0,684.62
1748451118,2637.94,2637.94,2637.3,2637.43,474.65
1748451122,2637.43,2637.43,2637.43,2637.43,93.09
1748451126,2637.44,2637.44,2637.43,2637.43,15.26
1748451131,2637.44,2637.44,2636.67,2636.67,1861.59
1748451135,2636.67,2636.68,2636.0,2636.0,2007.49
1748451139,2636.0,2636.78,2636.0,2636.57,1741.83
1748451143,2636.6,2636.71,2636.56,2636.56,110.34
1748451148,2636.56,2636.56,2636.08,2636.08,197.19
1748451152,2636.08,2636.08,2635.36,2635.51,6055.349999999999
1748451156,2635.6,2635.9,2635.6,2635.81,2445.51
1748451160,2635.81,2635.81,2635.8,2635.8,125.43
1748451165,2635.8,2635.8,2635.6,2635.61,215.61
1748451169,2635.6,2635.6,2635.5,2635.5,45.13
1748451173,2635.5,2635.5,2635.26,2635.26,681.75
1748451177,2635.26,2635.27,2635.14,2635.14,170.47999999999996
1748451181,2635.14,2635.15,2634.67,2634.67,734.88
1748451185,2634.66,2634.68,2634.48,2634.67,2772.4999999999995
1748451189,2634.67,2634.68,2634.23,2634.23,3594.1799999999994
1748451193,2634.23,2635.58,2634.23,2635.57,1201.8199999999997
1748451197,2635.57,2635.57,2634.96,2635.11,1486.0500000000002
1748451201,2635.11,2635.3,2635.11,2635.3,689.41
1748451205,2635.29,2635.3,2635.29,2635.3,71.5
1748451209,2635.3,2635.3,2635.16,2635.16,499.94000000000005
1748451213,2635.17,2635.17,2635.16,2635.17,233.57
1748451217,2635.17,2635.59,2635.16,2635.59,4715.98
1748451221,2635.58,2635.59,2635.58,2635.59,184.52
1748451226,2635.58,2635.59,2635.58,2635.59,117.24
1748451231,2635.59,2635.75,2635.59,2635.75,111.93
1748451235,2635.75,2636.15,2635.75,2635.92,500.0899999999999
1748451239,2635.92,2636.18,2635.92,2636.16,277.19999999999993
1748451243,2636.17,2636.46,2636.17,2636.39,1501.28
1748451247,2636.4,2636.46,2636.4,2636.46,90.77
1748451251,2636.45,2636.46,2636.31,2636.45,1284.75
1748451255,2636.45,2636.45,2635.77,2635.78,542.4999999999999
1748451259,2635.77,2635.77,2635.77,2635.77,2.01
1748451263,2635.78,2636.44,2635.78,2636.01,3098.249999999999
1748451267,2636.0,2636.22,2635.94,2635.94,99.36
1748451271,2635.94,2635.94,2635.85,2635.85,25.31
1748451275,2635.86,2635.86,2635.23,2635.23,1508.48
1748451279,2635.23,2635.59,2634.97,2635.59,2428.2200000000007
1748451283,2635.6,2635.7,2635.49,2635.5,2038.55
1748451287,2635.49,2635.83,2635.49,2635.83,73.04000000000002
1748451291,2635.83,2636.2,2635.83,2636.2,120.29000000000002
1748451296,2636.2,2636.8,2636.2,2636.79,160.43000000000004
1748451300,2636.8,2636.8,2635.75,2636.16,868.92
1748451304,2636.15,2636.16,2636.15,2636.15,14.040000000000004
1748451309,2636.15,2636.84,2636.15,2636.84,67.53999999999999
1748451313,2636.84,2636.84,2636.36,2636.6,364.5299999999999
1748451317,2636.59,2636.82,2636.59,2636.82,486.61999999999995
1748451321,2636.82,2636.88,2636.82,2636.87,188.27
1748451325,2636.87,2636.87,2636.6,2636.63,229.91
1748451329,2636.63,2636.64,2636.63,2636.64,154.79000000000002
1748451333,2636.7,2637.28,2636.7,2637.28,870.6899999999999
1748451338,2637.28,2637.3,2637.27,2637.3,49.05
1748451342,2637.32,2637.75,2637.32,2637.75,188.16000000000005
1748451346,2637.76,2637.83,2637.76,2637.83,81.83
1748451350,2637.84,2637.89,2637.83,2637.89,173.03000000000003
1748451354,2637.89,2637.89,2637.65,2637.66,487.91
1748451358,2637.65,2637.66,2637.49,2637.5,207.68
