datetime,action,price,amount,position_long,position_short,cash,margin,total_asset,pnl
2023-07-30 17:20:00,open_long,1874.17,6,6,0,130815.68711434073,11245.02,142060.70711434074,0.0
2023-07-31 02:45:00,close_long,3139.9107766221814,-6,0,0,157249.5964338069,0.0,157249.5964338069,7594.444659733088
2023-07-31 02:45:00,open_short,3139.9107766221814,6,0,6,156307.62320082024,941.9732329866544,157249.5964338069,0.0
2023-08-06 02:40:00,close_short,1831.86,-6,0,0,165097.90109354,0.0,165097.90109354,7848.304659733087
2023-08-06 02:40:00,open_long,1831.86,6,6,0,154106.74109353998,10991.16,165097.90109354,0.0
2023-08-13 18:55:00,close_long,3700.8098485648798,-6,0,0,187525.29927631855,0.0,187525.29927631855,11213.699091389279
2023-08-13 18:55:00,open_short,3700.8098485648798,6,0,6,186415.05632174909,1110.2429545694638,187525.29927631855,0.0
2023-08-25 08:50:00,close_short,1652.39,-6,0,0,199815.81836770783,0.0,199815.81836770783,12290.519091389277
2023-08-25 08:50:00,open_long,1652.39,6,6,0,189901.47836770784,9914.34,199815.81836770783,0.0
2023-08-29 03:30:00,close_long,3245.893494434991,-6,0,0,218937.86030092774,0.0,218937.86030092774,9561.020966609947
2023-08-29 03:30:00,open_short,3245.893494434991,6,0,6,217964.09225259724,973.7680483304974,218937.86030092774,0.0
2023-08-30 12:10:00,close_short,1716.46,-6,0,0,228114.4612675377,0.0,228114.4612675377,9176.600966609947
2023-08-30 12:10:00,open_long,1716.46,6,6,0,217815.7012675377,10298.76,228114.4612675377,0.0
2023-08-31 01:00:00,close_long,3246.033087455417,-6,0,0,246469.3383170027,0.0,246469.3383170027,9177.4385247325
2023-08-31 01:00:00,open_short,3246.033087455417,6,0,6,245495.52839076606,973.8099262366252,246469.3383170027,0.0
2023-09-07 21:40:00,close_short,1625.7,-6,0,0,256191.3368417352,0.0,256191.3368417352,9721.998524732502
2023-09-07 21:40:00,open_long,1625.7,6,6,0,246437.1368417352,9754.2,256191.3368417352,0.0
2023-09-09 00:40:00,close_long,2563.7233311928558,-6,0,0,267447.61681604944,0.0,267447.61681604944,5628.139987157134
2023-09-09 00:40:00,open_short,2563.7233311928558,6,0,6,266678.49981669156,769.1169993578568,267447.61681604944,0.0
2023-09-16 18:10:00,close_short,1634.2,-6,0,0,273024.7568032066,0.0,273024.7568032066,5577.139987157134
2023-09-16 18:10:00,open_long,1634.2,6,6,0,263219.55680320656,9805.2,273024.7568032066,0.0
2023-09-20 22:55:00,close_long,2464.1437610307016,-6,0,0,282984.081935575,0.0,282984.081935575,4979.66256618421
2023-09-20 22:55:00,open_short,2464.1437610307016,6,0,6,282244.8388072658,739.2431283092105,282984.081935575,0.0
2023-09-24 18:25:00,close_short,1592.17,-6,0,0,288215.92450175923,0.0,288215.92450175923,5231.842566184209
2023-09-24 18:25:00,open_long,1592.17,6,6,0,278662.9045017592,9553.02,288215.92450175923,0.0
2023-09-28 08:35:00,close_long,2558.773407962345,-6,0,0,299815.16539730737,0.0,299815.16539730737,5799.62044777407
2023-09-28 08:35:00,open_short,2558.773407962345,6,0,6,299047.5333749187,767.6320223887036,299815.16539730737,0.0
2023-09-30 04:10:00,close_short,1660.19,-6,0,0,305206.66584508144,0.0,305206.66584508144,5391.50044777407
2023-09-30 04:10:00,open_long,1660.19,6,6,0,295245.5258450814,9961.14,305206.66584508144,0.0
2023-10-01 01:05:00,close_long,2539.582095071745,-6,0,0,315759.37098594237,0.0,315759.37098594237,5276.35257043047
2023-10-01 01:05:00,open_short,2539.582095071745,6,0,6,314997.49635742087,761.8746285215235,315759.37098594237,0.0
2023-10-02 18:15:00,close_short,1729.97,-6,0,0,320617.04355637287,0.0,320617.04355637287,4857.672570430468
2023-10-02 18:15:00,open_long,1729.97,6,6,0,310237.22355637286,10379.82,320617.04355637287,0.0
2023-10-16 22:20:00,close_long,3623.230528436765,-6,0,0,343336.16989761405,0.0,343336.16989761405,11359.56317062059
2023-10-16 22:20:00,open_short,3623.230528436765,6,0,6,342249.200739083,1086.9691585310295,343336.16989761405,0.0
2023-10-22 04:25:00,close_short,1628.81,-6,0,0,355302.6930682346,0.0,355302.6930682346,11966.523170620589
2023-10-22 04:25:00,open_long,1628.81,6,6,0,345529.8330682346,9772.86,355302.6930682346,0.0
2023-10-23 16:25:00,close_long,3400.8855860137287,-6,0,0,376567.60010039934,0.0,376567.60010039934,10632.45351608237
2023-10-23 16:25:00,open_short,3400.8855860137287,6,0,6,375547.33442459523,1020.2656758041187,376567.60010039934,0.0
2023-11-18 00:05:00,close_short,1920.2,-6,0,0,385451.71361648175,0.0,385451.71361648175,8884.113516082372
2023-11-18 00:05:00,open_long,1920.2,6,6,0,373930.51361648174,11521.2,385451.71361648175,0.0
2023-11-18 13:35:00,close_long,2028.898803736144,-6,0,0,386756.0992613155,0.0,386756.0992613155,652.1928224168632
2023-11-18 13:35:00,open_short,2028.898803736144,6,0,6,386147.42962019466,608.6696411208432,386756.0992613155,0.0
2023-11-27 10:15:00,close_short,1729.2975927415996,-6,0,0,388553.7065272828,0.0,388553.7065272828,1797.607265967266
2023-11-27 10:15:00,open_long,1729.2975927415996,6,6,0,378177.92097083316,10375.785556449599,388553.7065272828,0.0
2023-12-10 15:15:00,close_long,2530.34547191671,-6,0,0,398166.2810773841,0.0,398166.2810773841,4806.287275050659
2023-12-10 15:15:00,open_short,2530.34547191671,6,0,6,397407.17743580905,759.1036415750131,398166.2810773841,0.0
2023-12-11 08:00:00,close_short,2350.54,-6,0,0,399245.11390888435,0.0,399245.11390888435,1078.832831500259
2023-12-11 08:00:00,open_long,2350.54,6,6,0,385141.87390888436,14103.24,399245.11390888435,0.0
2023-12-12 04:50:00,close_long,2506.043099079555,-6,0,0,401111.151097839,0.0,401111.151097839,933.0185944773293
2023-12-12 04:50:00,open_short,2506.043099079555,6,0,6,400359.3381681151,751.8129297238665,401111.151097839,0.0
2023-12-13 11:10:00,close_short,2172.36,-6,0,0,403113.24969231634,0.0,403113.24969231634,2002.0985944773283
2023-12-13 11:10:00,open_long,2172.36,6,6,0,390079.08969231637,13034.16,403113.24969231634,0.0
2023-12-14 22:00:00,close_long,2565.9304596205698,-6,0,0,407836.0952077632,0.0,407836.0952077632,2361.422757723418
2023-12-14 22:00:00,open_short,2565.9304596205698,6,0,6,407066.316069877,769.779137886171,407836.0952077632,0.0
2023-12-20 05:35:00,close_short,2168.59,-6,0,0,410220.1379654866,0.0,410220.1379654866,2384.0427577234177
2023-12-20 05:35:00,open_long,2168.59,6,6,0,397208.59796548664,13011.54,410220.1379654866,0.0
